"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-01-01 ~ 2025-12-31"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 종로구 화동","78","0078","0000","화동MA빌라","199.2200","135.2800","202512","31","180,000","4","개인","개인","1996","북촌로5가길 26","-","중개거래","서울 종로구","26.01.21"
"2","서울특별시 중구 신당동","346-493","0346","0493","에이동,비동,씨동","49.4900","71.0000","202512","31","80,000","2","개인","개인","1978","동호로8라길 3-6","-","중개거래","서울 중구","-"
"3","서울특별시 성동구 응봉동","265-312","0265","0312","(265-312)","32.3400","14.0000","202512","31","30,500","2","개인","개인","1998","독서당로59다길 36-6","-","중개거래","서울 서초구, 서울 성동구","26.03.18"
"4","서울특별시 성북구 장위동","233-103","0233","0103","해드림","29.9200","20.8510","202512","31","60,000","5","개인","개인","2020","장위로28길 32","20260209","중개거래","서울 성북구","-"
"5","서울특별시 중랑구 중화동","320-85","0320","0085","모두&토토","29.7200","19.6400","202512","31","30,500","2","개인","개인","2018","중랑역로9길 9","-","중개거래","서울 중랑구","26.01.29"
"6","서울특별시 성북구 장위동","231-409","0231","0409","호연빌라","42.4900","28.5500","202512","31","36,500","-1","개인","개인","1997","장위로16길 59","-","중개거래","서울 성북구","26.03.04"
"7","서울특별시 중랑구 중화동","320-85","0320","0085","모두&토토","29.7200","19.6400","202512","31","31,000","3","개인","개인","2018","중랑역로9길 9","-","중개거래","서울 중랑구","26.02.13"
"8","서울특별시 성북구 장위동","231-291","0231","0291","장원빌라","42.2600","21.7300","202512","31","36,000","4","개인","개인","1993","장위로16길 36-11","-","중개거래","서울 성북구","26.03.04"
"9","서울특별시 성동구 행당동","304-21","0304","0021","행당리치빌","36.6500","19.2400","202512","31","70,000","4","개인","개인","2015","행당로9길 20-25","-","중개거래","경기 하남시, 서울 성동구","26.04.03"
"10","서울특별시 성북구 성북동","155-19","0155","0019","홍익빌라트","70.6300","39.0500","202512","31","53,000","4","개인","개인","1999","성북로14가길 10","-","중개거래","서울 성북구","26.01.14"
"11","서울특별시 중랑구 면목동","69-41","0069","0041","(69-41)","16.4700","16.6400","202512","31","40,000","1","개인","개인","2021","겸재로54길 59-15","-","직거래","-","26.01.29"
"12","서울특별시 광진구 구의동","43-4","0043","0004","써미트빌","48.0900","36.4000","202512","31","60,000","1","개인","개인","2017","자양로44나길 16","-","중개거래","서울 광진구","26.04.29"
"13","서울특별시 중랑구 상봉동","265-8","0265","0008","엠에스빌","26.6800","17.6998","202512","31","26,000","4","개인","개인","2020","상봉중앙로6가길 12","-","중개거래","서울 중랑구","26.03.13"
