No,지역,지역,지역,지역,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월,2026년 4월
No,지역,지역,지역,지역,매매가격 대비 전세가격,매매가격 대비 전세가격,매매가격 대비 전세가격,매매가격 대비 전세가격,매매가격 대비 전세가격,매매가격 대비 전세가격,매매가격 대비 전세가격,매매가격 대비 전세가격,매매가격 대비 전세가격,매매가격 대비 전세가격
No,지역,지역,지역,지역,%,%,%,%,%,%,%,%,%,%
1,전국,전국,전국,전국,68.1,68.2,68.2,68.2,68.2,68.3,68.4,68.5,68.6,68.8
2,수도권,수도권,수도권,수도권,62.3,62.3,62.3,62.1,62.2,62.2,62.2,62.3,62.4,62.6
3,지방권,지방권,지방권,지방권,73.7,73.7,73.8,73.9,74.0,74.0,74.2,74.3,74.4,74.6
4,6대광역시,6대광역시,6대광역시,6대광역시,69.7,69.8,70.0,70.1,70.2,70.3,70.5,70.6,70.8,71.0
5,5대광역시,5대광역시,5대광역시,5대광역시,70.3,70.4,70.6,70.7,70.8,70.9,71.1,71.2,71.4,71.6
6,9개도,9개도,9개도,9개도,71.7,71.7,71.8,71.8,71.8,71.8,71.9,72.0,72.1,72.3
7,8개도,8개도,8개도,8개도,77.3,77.4,77.4,77.4,77.4,77.5,77.6,77.6,77.7,77.8
8,서울,서울,서울,서울,53.1,53.1,53.0,52.6,52.5,52.5,52.2,52.0,52.1,52.2
9,서울,강북지역,강북지역,강북지역,55.6,55.6,55.5,55.1,55.0,55.0,54.9,54.7,54.7,54.8
10,서울,강북지역,도심권,도심권,52.7,52.6,52.4,51.8,51.6,51.5,51.2,51.1,51.1,51.3
11,서울,강북지역,도심권,종로구,61.4,61.3,61.2,60.8,60.7,60.7,60.6,60.3,60.1,60.0
12,서울,강북지역,도심권,중구,60.8,60.7,60.4,59.5,59.3,59.0,58.5,58.3,58.1,58.2
13,서울,강북지역,도심권,용산구,44.0,43.9,43.8,43.2,43.0,42.9,42.7,42.7,43.0,43.2
14,서울,강북지역,동북권,동북권,55.9,55.8,55.8,55.5,55.5,55.5,55.4,55.3,55.3,55.5
15,서울,강북지역,동북권,성동구,47.2,46.8,46.2,44.9,44.4,44.1,43.8,43.7,43.7,43.9
16,서울,강북지역,동북권,광진구,53.8,53.6,53.3,52.1,52.1,52.0,51.9,51.6,51.7,51.9
17,서울,강북지역,동북권,동대문구,59.0,59.0,58.9,58.5,58.4,58.3,58.1,57.9,57.7,57.6
18,서울,강북지역,동북권,중랑구,63.4,63.4,63.4,63.4,63.4,63.5,63.4,63.4,63.4,63.4
19,서울,강북지역,동북권,성북구,58.5,58.6,58.6,58.4,58.5,58.6,58.4,58.1,58.2,58.3
20,서울,강북지역,동북권,강북구,62.2,62.2,62.3,62.4,62.5,62.8,62.8,62.8,63.1,63.3
21,서울,강북지역,동북권,도봉구,55.1,55.1,55.2,55.2,55.3,55.4,55.5,55.5,55.8,56.1
22,서울,강북지역,동북권,노원구,53.6,53.6,53.7,53.7,53.8,53.9,53.9,53.9,53.9,54.2
23,서울,강북지역,서북권,서북권,56.1,56.0,55.9,55.3,55.2,55.0,54.7,54.5,54.4,54.4
24,서울,강북지역,서북권,은평구,59.9,59.9,59.9,59.7,59.6,59.6,59.4,59.3,59.3,59.2
25,서울,강북지역,서북권,서대문구,57.2,57.1,57.0,56.6,56.6,56.5,56.2,56.0,55.8,55.7
26,서울,강북지역,서북권,마포구,51.6,51.5,51.2,50.1,49.8,49.6,49.2,48.8,48.9,49.0
27,서울,강남지역,강남지역,강남지역,51.0,50.9,50.8,50.4,50.4,50.3,50.0,49.7,49.8,50.0
28,서울,강남지역,서남권,서남권,55.6,55.6,55.5,55.0,54.9,54.8,54.4,54.1,54.0,54.0
29,서울,강남지역,서남권,양천구,49.4,49.3,49.2,48.4,48.1,48.1,47.8,47.6,47.5,47.5
30,서울,강남지역,서남권,강서구,56.8,56.8,56.8,56.6,56.5,56.5,56.1,55.7,55.5,55.3
31,서울,강남지역,서남권,구로구,62.4,62.3,62.2,62.1,62.1,62.0,61.6,61.2,61.1,61.2
32,서울,강남지역,서남권,금천구,58.5,58.5,58.5,58.5,58.5,58.7,58.7,58.8,58.9,59.1
33,서울,강남지역,서남권,영등포구,52.0,51.9,51.8,51.0,50.9,50.7,50.3,49.8,49.7,49.6
34,서울,강남지역,서남권,동작구,53.4,53.3,53.2,52.4,51.9,51.6,51.2,51.1,51.3,51.3
35,서울,강남지역,서남권,관악구,59.8,59.6,59.6,59.4,59.3,59.2,58.7,58.2,58.2,58.2
36,서울,강남지역,동남권,동남권,45.8,45.6,45.6,45.3,45.3,45.2,44.9,44.9,45.2,45.5
37,서울,강남지역,동남권,서초구,45.3,45.0,44.9,45.2,45.4,45.7,45.7,45.8,46.1,46.3
38,서울,강남지역,동남권,강남구,43.6,43.4,43.2,43.0,42.9,42.7,42.6,42.6,43.0,43.1
39,서울,강남지역,동남권,송파구,42.5,42.3,42.4,41.8,41.7,41.4,40.9,40.7,41.0,41.6
40,서울,강남지역,동남권,강동구,54.3,54.3,54.3,53.6,53.6,53.6,53.3,53.2,53.5,53.7
41,경기,경기,경기,경기,65.9,66.0,66.0,66.0,66.0,66.1,66.2,66.3,66.5,66.6
42,경기,경부1권,경부1권,경부1권,57.6,57.5,57.4,56.8,56.7,56.6,56.6,56.4,56.4,56.4
43,경기,경부1권,과천시,과천시,53.4,53.3,53.2,51.9,50.6,49.1,48.2,47.8,47.8,47.7
44,경기,경부1권,안양시,안양시,61.1,61.1,61.1,60.7,60.9,60.8,60.7,60.3,60.1,60.1
45,경기,경부1권,안양시,만안구,66.1,66.3,66.4,66.2,66.3,66.4,66.4,66.1,66.2,66.2
46,경기,경부1권,안양시,동안구,58.5,58.3,58.3,57.8,57.9,57.8,57.7,57.4,57.0,57.0
47,경기,경부1권,성남시,성남시,51.2,50.9,50.5,49.4,49.1,49.0,49.3,49.3,49.3,49.2
48,경기,경부1권,성남시,수정구,58.1,58.0,58.0,57.7,57.6,58.2,58.0,57.5,57.6,57.4
49,경기,경부1권,성남시,중원구,56.1,55.9,55.9,55.9,56.1,56.1,59.9,59.7,59.6,59.8
